Date,Open,High,Low,Close,Adj Close,Volume
11/09/2018,22469.7793,23105.2793,22457.09961,23094.66992,23094.66992,334000000
18/09/2018,23042.18945,23971.41016,23039.25977,23869.92969,23869.92969,406400000
25/09/2018,23881.84961,24306.53906,23778.03906,24245.75977,24245.75977,416900000
2/10/2018,24376.16992,24448.07031,23730.18945,23783.7207,23783.7207,325800000
9/10/2018,23550.4707,23589.38086,22261.91992,22271.30078,22271.30078,451800000
16/10/2018,22298.19922,22959.41016,22212.57031,22614.82031,22614.82031,336900000
23/10/2018,22404.14063,22410.15039,20971.92969,21149.80078,21149.80078,421400000
30/10/2018,21049.51953,22308.41992,21035.88086,21898.99023,21898.99023,504400000
6/11/2018,22018.86914,22583.42969,21994.2793,22269.88086,22269.88086,315600000
13/11/2018,21885.24023,21990.41016,21484.65039,21821.16016,21821.16016,307900000
20/11/2018,21582.68945,21838.09961,21243.38086,21812,21812,303700000
27/11/2018,21967.98047,22698.78906,21816.05078,22574.75977,22574.75977,395500000
4/12/2018,22533.9707,22576.61914,21169.96094,21219.5,21219.5,418000000
11/12/2018,21273.03906,21871.33984,21062.31055,21506.88086,21506.88086,422500000
18/12/2018,21275.50977,21330.35938,20006.66992,20166.18945,20166.18945,374700000
25/12/2018,19785.42969,20211.57031,18948.58008,20014.76953,20014.76953,243500000
1/01/2019,19655.13086,20266.2207,19241.36914,20038.9707,20038.9707,173100000
8/01/2019,20224.66992,20494.34961,20101.92969,20359.69922,20359.69922,310600000
15/01/2019,20264.82031,20892.67969,20204.42969,20719.33008,20719.33008,337300000
22/01/2019,20770.06055,20844.31055,20438.2207,20649,20649,243700000
29/01/2019,20555.43945,20929.63086,20406.2207,20883.76953,20883.76953,359700000
5/02/2019,20960.4707,20981.23047,20315.31055,20333.16992,20333.16992,291200000
12/02/2019,20442.55078,21306.35938,20428.57031,21281.84961,21281.84961,354600000
19/02/2019,21256.58008,21590.0293,21217.16016,21528.23047,21528.23047,285900000
26/02/2019,21556.01953,21860.39063,21364.08984,21822.03906,21822.03906,317300000
5/03/2019,21712.80078,21798.38086,20938,21125.08984,21125.08984,346900000
12/03/2019,21361.60938,21612.66992,21198.99023,21584.5,21584.5,336500000
19/03/2019,21558.42969,21713.25977,20911.57031,20977.10938,20977.10938,281800000
26/03/2019,21174.33984,21682.93945,20974.18945,21509.0293,21509.0293,387400000
2/04/2019,21744.64063,21900.55078,21489.94922,21761.65039,21761.65039,310500000
9/04/2019,21750.28906,22211.0293,21571.66992,22169.10938,22169.10938,301900000
16/04/2019,22108.15039,22345.18945,22058.39063,22217.90039,22217.90039,242900000
23/04/2019,22241.74023,22362.91992,22073.09961,22258.73047,22258.73047,255100000
30/04/2019,null,null,null,null,null,null
7/05/2019,22184.40039,22190.49023,21127.92969,21191.2793,21191.2793,446300000
14/05/2019,20870.76953,21430.06055,20751.44922,21301.73047,21301.73047,397700000
21/05/2019,21211.25977,21404.53906,20922,21182.58008,21182.58008,307800000
28/05/2019,21187.16992,21297.69922,20305.74023,20410.88086,20410.88086,373700000
4/06/2019,20435.85938,21166.11914,20289.64063,21134.41992,21134.41992,310000000
11/06/2019,21099.53906,21259.69922,20932.13086,21124,21124,283800000
18/06/2019,21111.76953,21497.82031,20924.18945,21285.99023,21285.99023,306600000
25/06/2019,21238.07031,21758.33984,21035.83984,21729.9707,21729.9707,294500000
2/07/2019,21699.42969,21784.2207,21499.57031,21534.34961,21534.34961,244200000
9/07/2019,21598.15039,21720.14063,21488.2207,21685.90039,21685.90039,207800000
